,Id,SepalLength,SepalWidth,PetalLength,Species
0,1.0,5.1,3.5,1.4,1.0
1,2.0,4.9,3.0,1.4,1.0
2,3.0,4.7,3.2,1.3,1.0
3,4.0,4.6,3.1,1.5,1.0
4,5.0,5.0,3.6,1.4,1.0
5,6.0,5.4,3.9,1.7,1.0
6,7.0,4.6,3.4,1.4,1.0
7,8.0,5.004081632653061,3.4,1.5,1.0
8,9.0,4.4,2.9,1.4,1.0
9,10.0,4.9,3.1,1.5,1.0
10,11.0,5.4,3.7,1.5,1.0
11,12.0,4.8,3.4,1.6,1.0
12,13.0,4.8,3.0,1.4,1.0
13,14.0,4.3,3.0,1.1,1.0
14,15.0,5.8,4.0,1.2,1.0
15,17.0,5.4,3.9,1.3,1.0
16,18.0,5.1,3.5,1.4,1.0
17,19.0,5.7,3.8,1.7,1.0
18,20.0,5.1,3.8,1.5,1.0
19,21.0,5.4,3.4204081632653067,1.7,1.0
20,22.0,5.1,3.7,1.5,1.0
21,23.0,4.6,3.6,1.0,1.0
22,24.0,5.1,3.3,1.7,1.0
23,25.0,4.8,3.4,1.9,1.0
24,26.0,5.0,3.0,1.6,1.0
25,27.0,5.0,3.4,1.6,1.0
26,28.0,5.2,3.5,1.5,1.0
27,29.0,5.2,3.4,1.4,1.0
28,30.0,4.7,3.2,1.6,1.0
29,31.0,4.8,3.1,1.6,1.0
30,32.0,5.4,3.4,1.5,1.0
31,35.0,4.8,3.1,1.5,1.0
32,36.0,5.0,3.2,1.2,1.0
33,37.0,5.5,3.5,1.3,1.0
34,38.0,4.9,3.2,1.5,1.0
35,39.0,4.4,3.0,1.3,1.0
36,40.0,5.1,3.4,1.5,1.0
37,41.0,5.0,3.5,1.3,1.0
38,42.0,4.5,2.3,1.3,1.0
39,43.0,4.4,3.2,1.3,1.0
40,44.0,5.0,3.5,1.6,1.0
41,45.0,5.1,3.8,1.9,1.0
42,46.0,4.8,3.0,1.4,1.0
43,47.0,5.1,3.8,1.6,1.0
44,48.0,4.6,3.2,1.4,1.0
45,49.0,5.3,3.7,1.5,1.0
46,50.0,5.0,3.3,1.4,1.0
47,51.0,7.0,3.2,4.7,2.0
48,52.0,6.4,3.2,4.5,2.0
49,53.0,6.9,3.1,4.9,2.0
50,54.0,5.5,2.3,4.0,2.0
51,55.0,6.5,2.8,4.6,2.0
52,56.0,5.7,2.8,4.5,2.0
53,57.0,6.3,3.3,4.7,2.0
54,58.0,4.9,2.4,3.3,2.0
55,59.0,6.6,2.9,4.6,2.0
56,60.0,5.2,2.7,3.9,2.0
57,62.0,5.936734693877551,3.0,4.2,2.0
58,63.0,6.0,2.2,4.0,2.0
59,64.0,6.1,2.9,4.7,2.0
60,65.0,5.6,2.9,3.6,2.0
61,66.0,6.7,3.1,4.4,2.0
62,67.0,5.6,3.0,4.5,2.0
63,68.0,5.8,2.7,4.1,2.0
64,69.0,6.2,2.2,4.5,2.0
65,70.0,5.6,2.5,3.9,2.0
66,71.0,5.9,3.2,4.8,2.0
67,72.0,6.1,2.8,4.0,2.0
68,73.0,6.3,2.5,4.9,2.0
69,74.0,6.1,2.7693877551020414,4.7,2.0
70,75.0,6.4,2.9,4.3,2.0
71,76.0,6.6,3.0,4.4,2.0
72,77.0,6.8,2.8,4.8,2.0
73,78.0,6.7,3.0,5.0,2.0
74,79.0,6.0,2.9,4.5,2.0
75,80.0,5.7,2.6,3.5,2.0
76,81.0,5.5,2.4,3.8,2.0
77,82.0,5.5,2.4,3.7,2.0
78,83.0,5.8,2.7,3.9,2.0
79,84.0,6.0,2.7,5.1,2.0
80,85.0,5.4,3.0,4.5,2.0
81,86.0,6.0,3.4,4.5,2.0
82,87.0,6.7,3.1,4.7,2.0
83,88.0,6.3,2.3,4.4,2.0
84,89.0,5.6,3.0,4.1,2.0
85,90.0,5.5,2.5,4.0,2.0
86,91.0,5.5,2.6,4.4,2.0
87,92.0,6.1,3.0,4.6,2.0
88,93.0,5.8,2.6,4.0,2.0
89,94.0,5.0,2.3,3.3,2.0
90,95.0,5.6,2.7,4.2,2.0
91,96.0,5.7,3.0,4.2,2.0
92,97.0,5.7,2.9,4.2,2.0
93,98.0,6.2,2.9,4.3,2.0
94,99.0,5.1,2.5,3.0,2.0
95,100.0,5.7,2.8,4.1,2.0
96,101.0,6.3,3.3,6.0,3.0
97,102.0,5.8,2.7,5.1,3.0
98,103.0,7.1,3.0,5.9,3.0
99,104.0,6.3,2.9,5.6,3.0
100,105.0,6.5,3.0,5.8,3.0
101,106.0,7.6,3.0,6.6,3.0
102,107.0,4.9,2.5,4.5,3.0
103,108.0,7.3,2.9,6.3,3.0
104,109.0,6.7,2.5,5.8,3.0
105,110.0,7.2,3.6,6.1,3.0
106,111.0,6.5,3.2,5.1,3.0
107,112.0,6.4,2.7,5.3,3.0
108,113.0,6.8,3.0,5.5,3.0
109,114.0,5.7,2.5,5.0,3.0
110,115.0,5.8,2.8,5.1,3.0
111,116.0,6.4,3.2,5.3,3.0
112,117.0,6.591836734693875,3.0,5.5,3.0
113,118.0,7.7,3.8,6.7,3.0
114,119.0,7.7,2.6,6.9,3.0
115,120.0,6.0,2.2,5.0,3.0
116,121.0,6.9,3.2,5.7,3.0
117,122.0,5.6,2.8,4.9,3.0
118,123.0,7.7,2.8,6.7,3.0
119,124.0,6.3,2.7,4.9,3.0
120,125.0,6.7,3.3,5.7,3.0
121,126.0,7.2,3.2,6.0,3.0
122,127.0,6.2,2.8,4.8,3.0
123,128.0,6.1,3.0,4.9,3.0
124,129.0,6.4,2.8,5.6,3.0
125,130.0,7.2,3.0,5.8,3.0
126,131.0,7.4,2.8,6.1,3.0
127,132.0,7.9,3.8,6.4,3.0
128,133.0,6.4,2.8,5.6,3.0
129,134.0,6.3,2.8,5.1,3.0
130,135.0,6.1,2.6,5.6,3.0
131,136.0,7.7,3.0,6.1,3.0
132,137.0,6.3,3.4,5.6,3.0
133,138.0,6.4,3.1,5.5,3.0
134,139.0,6.0,3.0,4.8,3.0
135,140.0,6.9,3.1,5.4,3.0
136,141.0,6.7,3.1,5.551020408163264,3.0
